ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
2022,"20","ARNALDO MELO","ARNALDO MELO","M2022_MA_7_11222_100001608090","BOCEL0045950","100001608090","nome_parlamentar_x_urna","ANTONIO ARNALDO ALVES DE MELO","1954-06-08","PP","ARNALDO MELO","ARNALDO MELO","titular"
2022,"20","CARLOS LULA","CARLOS LULA","M2022_MA_7_40789_100001607073","BOCEL0147758","100001607073","nome_parlamentar_x_urna","CARLOS EDUARDO DE OLIVEIRA LULA","1982-03-31","PSB","CARLOS LULA","CARLOS LULA","titular"
2022,"20","CATULE JUNIOR","CATULE JUNIOR",NA,NA,"100001608091","suplente_nome_parlamentar_x_urna","ANTONIO JOSE BITTENCOURT DE ALBUQUERQUE JUNIOR","06/03/1981",NA,"CATULE JUNIOR","CATULE JUNIOR","suplente"
2022,"20","CLAUDIA COUTINHO","CLAUDIA COUTINHO","M2022_MA_7_12345_100001599591","BOCEL0079171","100001599591","nome_parlamentar_x_urna","CLAUDIA FABIANA VIEIRA SILVA","1970-05-04","PDT","CLAUDIA COUTINHO","CLAUDIA COUTINHO","titular"
2022,"20","CLAUDIO CUNHA","CLAUDIO CUNHA","M2022_MA_7_22555_100001603167","BOCEL0013251","100001603167","nome_parlamentar_x_urna","CLAUDIO LUIZ LIMA CUNHA","1968-07-13","PL","CLAUDIO CUNHA","CLAUDIO CUNHA","titular"
2022,"20","DALTON ARRUDA","DALTON ARRUDA",NA,NA,"100001607098","suplente_nome_parlamentar_x_urna","DALTON HUGOLINO ARRUDA DE SOUSA","23/05/1985",NA,"DALTON ARRUDA","DALTON ARRUDA","suplente"
2022,"20","DANIELLA","DANIELLA","M2022_MA_7_40258_100001607072","BOCEL0170264","100001607072","nome_parlamentar_x_urna","DANIELLA JADÃO MENESES","1985-07-27","PSB","DANIELLA",NA,"titular"
2022,"20","DAVI BRANDAO","DAVI BRANDAO","M2022_MA_7_40456_100001607064","BOCEL0207509","100001607064","nome_parlamentar_x_urna","DAVI BRANDÃO FARIAS","1997-08-19","PSB","DAVI BRANDAO","DAVI BRANDAO","titular"
2022,"20","DR HELENA DUAILIBE","DR HELENA DUAILIBE",NA,NA,"100001608103","suplente_nome_parlamentar_x_urna","HELENA MARIA DUAILIBE FERREIRA","30/12/1958",NA,"DR HELENA DUAILIBE","DR DUAILIBE","suplente"
2022,"20","DR VIVIANNE","DR VIVIANNE","M2022_MA_7_12456_100001599580","BOCEL0097124","100001599580","urna_com_grafia_divergente","VIVIANNE MARTINS COELHO E SILVA","1976-06-03","PDT","DR VIVIANNE","DR VIVIANNE","titular"
