id_mandato,sg_uf,sg_ue,cargo,ano_eleicao,forma_saida,fonte_forma_saida
"M2020_20451_11_20_150000792100","PB","20451","PREFEITO","2020","fim_regular","tce"
"M2012_20478_11_15_150000001831","PB","20478","PREFEITO","2012","fim_regular","tce"
"M2016_20478_11_15_150000005547","PB","20478","PREFEITO","2016","fim_regular","tce"
"M2020_20478_11_12_150000769653","PB","20478","PREFEITO","2020","fim_regular","tce"
"M2012_20494_11_25_150000011557","PB","20494","PREFEITO","2012","fim_regular","tce"
"M2016_20494_11_11_150000007375","PB","20494","PREFEITO","2016","fim_regular","tce"
"M2020_20494_11_23_150000978256","PB","20494","PREFEITO","2020","fim_regular","tce"
"M2012_20532_11_55_150000004278","PB","20532","PREFEITO","2012","fim_regular","tce"
"M2016_20532_11_55_150000002322","PB","20532","PREFEITO","2016","fim_regular","tce"
"M2020_20532_11_77_150000790022","PB","20532","PREFEITO","2020","fim_regular","tce"
"M2012_20559_11_14_150000015434","PB","20559","PREFEITO","2012","outro","tce"
"M2016_20559_11_70_150000001526","PB","20559","PREFEITO","2016","fim_regular","tce"
"M2012_20575_11_55_150000000895","PB","20575","PREFEITO","2012","fim_regular","tce"
"M2016_20575_11_40_150000002239","PB","20575","PREFEITO","2016","fim_regular","tce"
"M2020_20575_11_25_150000764586","PB","20575","PREFEITO","2020","fim_regular","tce"
"M2012_20591_11_55_150000007398","PB","20591","PREFEITO","2012","fim_regular","tce"
"M2016_20591_11_40_150000007289","PB","20591","PREFEITO","2016","fim_regular","tce"
"M2020_20591_11_45_150000868064","PB","20591","PREFEITO","2020","fim_regular","tce"
"M2012_20613_11_40_150000006489","PB","20613","PREFEITO","2012","fim_regular","tce"
"M2016_20613_11_40_150000009552","PB","20613","PREFEITO","2016","fim_regular","tce"
"M2012_20630_11_14_150000007175","PB","20630","PREFEITO","2012","fim_regular","tce"
"M2016_20630_11_40_150000001271","PB","20630","PREFEITO","2016","outro","tce"
"M2020_20630_11_10_150001267393","PB","20630","PREFEITO","2020","fim_regular","tce"
"M2012_20699_11_15_150000003633","PB","20699","PREFEITO","2012","fim_regular","tce"
"M2016_20699_11_45_150000003400","PB","20699","PREFEITO","2016","fim_regular","tce"
"M2020_20699_11_23_150000724329","PB","20699","PREFEITO","2020","fim_regular","tce"
"M2012_20737_11_40_150000006137","PB","20737","PREFEITO","2012","fim_regular","tce"
"M2016_20737_11_40_150000008098","PB","20737","PREFEITO","2016","fim_regular","tce"
"M2020_20737_11_77_150000786588","PB","20737","PREFEITO","2020","fim_regular","tce"
"M2012_20753_11_23_150000000920","PB","20753","PREFEITO","2012","fim_regular","tce"
"M2012_20770_11_15_150000003139","PB","20770","PREFEITO","2012","fim_regular","tce"
"M2016_20770_11_15_150000005966","PB","20770","PREFEITO","2016","fim_regular","tce"
"M2020_20770_11_12_150001041692","PB","20770","PREFEITO","2020","fim_regular","tce"
"M2012_20796_11_22_150000004481","PB","20796","PREFEITO","2012","fim_regular","tce"
"M2016_20796_11_40_150000002895","PB","20796","PREFEITO","2016","fim_regular","tce"
"M2020_20796_11_23_150000652371","PB","20796","PREFEITO","2020","fim_regular","tce"
"M2012_20818_11_45_150000011751","PB","20818","PREFEITO","2012","fim_regular","tce"
"M2020_20818_11_45_150001008516","PB","20818","PREFEITO","2020","fim_regular","tce"
"M2012_20834_11_40_150000011293","PB","20834","PREFEITO","2012","fim_regular","tce"
"M2016_20834_11_55_150000007578","PB","20834","PREFEITO","2016","fim_regular","tce"
"M2020_20834_11_22_150001248080","PB","20834","PREFEITO","2020","fim_regular","tce"
"M2012_20850_11_20_150000005572","PB","20850","PREFEITO","2012","fim_regular","tce"
"M2016_20850_11_45_150000005298","PB","20850","PREFEITO","2016","fim_regular","tce"
"M2012_20877_11_45_150000015408","PB","20877","PREFEITO","2012","fim_regular","tce"
"M2016_20877_11_14_150000005776","PB","20877","PREFEITO","2016","fim_regular","tce"
"M2020_20877_11_40_150000860249","PB","20877","PREFEITO","2020","fim_regular","tce"
"M2012_20893_11_22_150000003949","PB","20893","PREFEITO","2012","fim_regular","tce"
"M2016_20893_11_22_150000005584","PB","20893","PREFEITO","2016","fim_regular","tce"
