legislatura,nome,n_datas,n_vocabulos,primeira,ultima
18,DE PREVIDÊNCIA PRIVADA,1,2,2018-09-24,2018-09-24
18,DAS EMPRESAS CORRETORAS DE SEGUROS,1,3,2018-09-24,2018-09-24
18,IN MEMORIAM,1,1,2018-11-06,2018-11-06
18,SÍLVIO COSTA,1,2,2018-12-12,2018-12-12
18,FILHO,1,1,2018-12-12,2018-12-12
18,VINÍCIUS LABANCAE WALDEMAR BORGES,1,4,2018-12-12,2018-12-12
19,PRISCILA KRAUSE BRANCO,1,3,2019-02-04,2019-02-04
19,SUPERINTENDENTE DE CERIMONIAL DESTA CASA,2,4,2019-02-13,2019-06-05
19,IN MEMORIAM,1,1,2019-02-13,2019-02-13
19,RESPECTIVAMENTE,4,1,2019-02-20,2019-05-27
19,PASTOR CLIETON COLLINS,1,3,2019-02-26,2019-02-26
19,COMPOSITOR ED CARLOS,1,2,2019-03-20,2019-03-20
19,AO INSTITUTO DOM HÉLDER CÂMARA,1,4,2019-03-25,2019-03-25
19,DESEMBARGADORES ADALBERTO DE OLIVEIRA MELO,1,4,2019-04-02,2019-04-02
19,AGENOR FERREIRA DE LIMA FILHO,1,4,2019-04-02,2019-04-02
19,NILTON MOTA,1,2,2019-04-02,2019-04-02
19,DESEMBARGADORA ENEIDA MELO CORREIA DE ARAÚJO,1,5,2019-04-02,2019-04-02
19,VICE-DIRETORA DA ESCOLA JUDICIAL,1,4,2019-04-02,2019-04-02
19,DE VITÓRIA DE SANTO ANTÃO,1,3,2019-05-07,2019-05-07
19,ALUÍSIO LESSAE RODRIGO NOVAES,1,4,2019-05-06,2019-05-06
19,ESTE,6,1,2019-05-27,2019-09-17
19,TACARATU,1,1,2019-05-27,2019-05-27
19,TACAIMBÓ,1,1,2019-05-27,2019-05-27
19,FERREIROS,1,1,2019-05-27,2019-05-27
19,Ubiratan Sanderson,1,2,2019-05-06,2019-05-06
19,Tadeu Alencar,1,2,2019-05-06,2019-05-06
19,ESTA,3,1,2019-06-27,2019-09-10
19,NO PERÍODO DA DITADURA,1,2,2019-08-26,2019-08-26
19,PARA SEUS FAMILIARES,1,3,2019-08-26,2019-08-26
