statement,qid,nome_wikidata,dt_nascimento,nome_bocel,nasc_bocel,tipo_div,cargo,uf,inicio,tipo_pareamento,url
Q59204024-65503a71-4adb-ce9a-cc0a-815acb9c88a8,Q59204024,Marcelo Nilo,1955-01-01,JOSÉ MARCELO DO NASCIMENTO NILO,1955-04-26,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2003-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59204024
Q59204024-5ae8b6e5-40dd-7912-ff11-db70b6fe2d8d,Q59204024,Marcelo Nilo,1955-01-01,JOSÉ MARCELO DO NASCIMENTO NILO,1955-04-26,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59204024
Q59204024-ed0fa22f-4f5e-1b7e-68bc-7d2efd303e6b,Q59204024,Marcelo Nilo,1955-01-01,JOSÉ MARCELO DO NASCIMENTO NILO,1955-04-26,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59204024
Q59204024-dbebc0d2-4479-d3b7-b8af-b00c1afd3778,Q59204024,Marcelo Nilo,1955-01-01,JOSÉ MARCELO DO NASCIMENTO NILO,1955-04-26,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2015-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59204024
Q18242106-00DB6A73-71D3-4652-8053-E26B82CC4A03#1,Q18242106,Camilo Santana,1968-03-06,CAMILO SOBREIRA DE SANTANA,1968-06-03,dia_mes_trocados,GOVERNADOR,CE,2015-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q18242106
Q18242106-00DB6A73-71D3-4652-8053-E26B82CC4A03#2,Q18242106,Camilo Santana,1968-03-06,CAMILO SOBREIRA DE SANTANA,1968-06-03,dia_mes_trocados,GOVERNADOR,CE,2019-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q18242106
Q175-d0f58df2-4590-fc29-7035-21b8587b893e,Q60392579,Tarcísio de Freitas,1975-08-19,TARCISIO GOMES DE FREITAS,1975-06-19,mesmo_ano_outro_dia,GOVERNADOR,SP,2023-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q60392579
Q60392579-AF5FB518-AD24-4190-AD09-316E2DFB7C11,Q60392579,Tarcísio de Freitas,1975-08-19,TARCISIO GOMES DE FREITAS,1975-06-19,mesmo_ano_outro_dia,GOVERNADOR,SP,2023-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q60392579
Q59205416-098096DC-7626-47E3-96D2-CB34A678E9B5,Q59205416,Euclides Fernandes,1947-10-16,EUCLIDES NUNES FERNANDES,1947-10-17,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205416
Q59205416-930FC626-775F-4443-B01B-940BE8892D11,Q59205416,Euclides Fernandes,1947-10-16,EUCLIDES NUNES FERNANDES,1947-10-17,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205416
