legislatura,nome,forma_saida,data_fim_exercicio,causa_original,url
12,Franciane Motta,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Fábio Silva,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,GIL VIANNA,falecimento,2020-05-20,"ne em homenagem a todas as vítimas do coronavírus no país e ao deputado Gil Vianna (PSL), que faleceu na noite de ontem em decorrência da doença. Um projeto de resolução para dar ao parlament",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2 ; https://www.alerj.rj.gov.br/Visualizar/Noticia/48740
12,GUSTAVO TUTUCA,licenca,,"deputado licenciado Gustavo Tutuca (MDB), que busca estabelecer medidas de incentivo à inovação e pesquisa científica e tecnológica, objetivando atualizar o Marco Legal de Inovação do Estado. O event",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2 ; https://www.alerj.rj.gov.br/Visualizar/Noticia/51208
12,Giovani Ratinho,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Gustavo Schmidt,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,JAIR BITTENCOURT,outro,,"Exerceram o mandato (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=2)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2
12,JOÃO PEIXOTO,falecimento,2020-09-30,ALERJ LAMENTA A MORTE DO DEPUTADO JOÃO PEIXOTO,https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2 ; https://www.alerj.rj.gov.br/Visualizar/Noticia/49506
12,Jorge Felippe Neto,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Leo Vieira,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
