legislatura,nome,condicao,ev_chave,ev_forte,ev_data,ev_origem,ultima_exerc,ult_licenciado,chegou_ao_fim_exerc,ev_contradito,forma_saida,aplicado,motivo
15,AUGUSTO CÉSAR,titular,licenca,FALSE,2005-09-06,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,BRUNO ARAÚJO,titular,licenca,FALSE,2006-05-23,do,2007-01-15,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,CLAUDIANO MARTINS,titular,licenca,FALSE,2005-06-28,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,ETTORE LABANCA,titular,licenca,FALSE,2006-11-14,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,IZAÍAS RÉGIS,titular,licenca,FALSE,2006-05-24,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,JOÃO NEGROMONTE,titular,licenca,FALSE,2007-03-02,do,2007-01-15,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
15,JOSÉ QUEIROZ,titular,licenca,FALSE,2006-11-14,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,LOURIVAL SIMÕES,titular,licenca,FALSE,2006-11-17,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,MANOEL FERREIRA,titular,licenca,FALSE,2005-06-07,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,MAVIAEL CAVALCANTI,titular,licenca,FALSE,2006-05-05,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,RAIMUNDO PIMENTEL,titular,licenca,FALSE,2005-12-16,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,ROMÁRIO DIAS,titular,licenca,FALSE,2007-03-02,do,2007-01-17,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
15,SEBASTIÃO OLIVEIRA JÚNIOR,titular,afastamento,FALSE,2007-02-06,do,2006-12-28,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
15,SÉRGIO LEITE,titular,licenca,FALSE,2005-06-07,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,Ana Cavalcanti,titular,licenca,FALSE,2005-08-24,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,Ciro Coelho,titular,licenca,FALSE,2005-04-26,do,2007-01-15,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
15,Raul Henry,titular,licenca,FALSE,2006-11-17,do,2007-01-17,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,André Campos,titular,afastamento,FALSE,2011-02-23,noticia,2011-01-06,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
16,Ângelo Ferreira,titular,licenca,FALSE,2009-01-06,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Augusto Coutinho,titular,licenca,FALSE,2010-11-24,do,2011-01-05,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Carlos Santana,titular,licenca,FALSE,2011-01-06,do,2011-01-06,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
16,Ceça Ribeiro,titular,licenca,FALSE,2010-12-23,do,2011-01-06,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
16,Ciro Coelho,titular,licenca,FALSE,2008-04-23,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Clodoaldo Magalhães,titular,licenca,FALSE,2010-12-01,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Coronel José Alves,titular,licenca,FALSE,2007-06-27,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Edson Vieira,titular,licenca,TRUE,2008-11-19,do,2010-12-23,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Elina Carneiro,titular,licenca,FALSE,2007-10-30,do,2011-01-05,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Everaldo Cabral,titular,licenca,FALSE,2008-11-13,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Henrique Queiroz,titular,licenca,FALSE,2008-12-30,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Isaltino Nascimento,titular,licenca,TRUE,2011-01-05,do,2010-12-23,TRUE,TRUE,FALSE,licenca,TRUE,aplicado
16,Izaías Régis,titular,licenca,FALSE,2010-04-13,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,João Fernando Coutinho,titular,licenca,FALSE,2009-03-11,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,João Negromonte,titular,falecimento,TRUE,2008-11-18,do,2008-11-11,FALSE,FALSE,FALSE,falecimento,TRUE,aplicado
16,Manoel Ferreira,titular,licenca,FALSE,2008-11-07,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Miriam Lacerda,titular,licenca,FALSE,2008-12-30,do,2010-12-23,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Raimundo Pimentel,titular,licenca,FALSE,2008-11-21,do,2011-01-05,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Romário Dias,titular,renuncia,FALSE,2007-07-19,do,2007-07-02,FALSE,FALSE,FALSE,renuncia,TRUE,aplicado
16,Sílvio Costa Filho,titular,afastamento,FALSE,2008-04-01,noticia,2011-01-05,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Terezinha Nunes,titular,licenca,FALSE,2010-12-21,do,2011-01-06,FALSE,TRUE,FALSE,fim_regular,FALSE,voltou ao exercicio ate a reta final da legislatura
16,Carla Lapa,titular,licenca,FALSE,2010-06-23,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Claudiano Martins,titular,licenca,FALSE,2010-05-20,do,2011-01-06,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
16,Ricardo Teobaldo,titular,licenca,FALSE,2008-05-30,do,2008-12-22,FALSE,FALSE,TRUE,outro,FALSE,serie mostra exercicio depois da data do ato
16,ALBERTO FEITOSA,suplente,licenca,FALSE,2011-02-24,do,2010-03-30,FALSE,FALSE,FALSE,licenca,TRUE,aplicado
16,JOÃO DA COSTA,titular,afastamento,FALSE,2007-03-08,do,2008-12-22,FALSE,FALSE,TRUE,outro,FALSE,serie mostra exercicio depois da data do ato
16,ISABEL CRISTINA,suplente,licenca,FALSE,2008-05-20,do,2011-01-05,FALSE,TRUE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
16,JACILDA URQUISA,suplente,licenca,FALSE,2010-06-01,do,2011-01-06,FALSE,TRUE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
16,WALDEMAR BORGES,suplente,afastamento,FALSE,2009-02-06,do,2010-02-02,FALSE,FALSE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
